model,N,topk,mode,n_runs,n_label_sets,feasibility_rate,gap_mean,gap_median,gap_p90,gap_worst,labelset_sd,frac_gap_le_5pct,mean_n_total,mean_n_repair,label_evals
poly3,100,1,scale+thin,426,3,0.9929577464788732,0.05679325748956132,0.0353591256879641,0.12904782925046415,0.732401983923052,0.002353203185497185,0.5868544600938967,66.46948356807512,62.60093896713615,480000.0
poly3,100,2,scale+thin,426,3,1.0,0.05741980877047598,0.032074029844986945,0.1298177185518243,0.8890284112906568,0.005743335791540104,0.6150234741784038,71.43427230046949,63.33802816901409,480000.0
poly3,100,3,scale+thin,426,3,1.0,0.058529689365462226,0.0326597009106719,0.132448947013261,0.8890284112906568,0.007319090688552495,0.6056338028169014,74.93661971830986,63.26995305164319,480000.0
gp,208,1,scale+thin,426,3,0.9953051643192489,0.03982965739255634,0.01965869106411705,0.12524096451690983,0.2807550585605713,0.008225606074174998,0.7276995305164319,65.85211267605634,61.6924882629108,998400.0
gp,208,2,scale+thin,426,3,0.9976525821596244,0.04189199503175025,0.019388134608586,0.12664092842660193,0.6023178975737631,0.011286097007304126,0.7300469483568075,70.81455399061034,62.117370892018776,998400.0
gp,208,3,scale+thin,426,3,0.9976525821596244,0.04947485199224567,0.0245384110411928,0.147620888408406,0.6023178975737631,0.0027019392836264144,0.7018779342723005,74.83568075117371,62.140845070422536,998400.0
knn,208,1,scale+thin,426,3,0.9953051643192489,0.0009137728773602095,-0.00269676262921465,0.02519625656283062,0.2830733760644419,0.0011827719761384285,0.9624413145539906,64.1830985915493,60.532863849765256,998400.0
knn,208,2,scale+thin,426,3,0.9976525821596244,0.002191634019761629,-0.0028139516337889,0.02001192667934314,0.6226513091860213,0.00419524485377626,0.9671361502347418,68.88732394366197,60.97417840375587,998400.0
knn,208,3,scale+thin,426,3,0.9976525821596244,0.004350508339387338,-0.0028139516337889,0.023514390728172428,0.6226513091860213,0.002473743810563879,0.960093896713615,72.52347417840376,60.96948356807512,998400.0
mlp,208,1,scale+thin,426,3,0.9953051643192489,0.04158965825874532,0.023538621185295303,0.12238021287525719,0.2824182700570545,0.015274763170014844,0.7065727699530516,66.88028169014085,63.1150234741784,998400.0
mlp,208,2,scale+thin,426,3,0.9976525821596244,0.04325471914748301,0.0202089412876846,0.12528542104584744,0.63431334018782,0.01606503035064368,0.7112676056338029,71.60328638497653,63.67370892018779,998400.0
mlp,208,3,scale+thin,426,3,0.9976525821596244,0.045112193986675694,0.0230850193692671,0.1305352816221749,0.63431334018782,0.014518173504552805,0.7018779342723005,75.06338028169014,63.67370892018779,998400.0
poly3,208,1,scale+thin,426,3,0.9953051643192489,0.057780792399439694,0.0403804892892232,0.13433306275547754,0.2844076479249908,0.0014906097884157627,0.5727699530516432,67.18544600938966,63.25352112676056,998400.0
poly3,208,2,scale+thin,426,3,0.9976525821596244,0.059541026206363784,0.0346779567248225,0.13503230272292027,0.6461679837613588,0.002909959796913972,0.5821596244131455,71.65727699530517,63.60093896713615,998400.0
