reference,model,N,topk,mode,amortiser_gap,reference_gap,diff,ci95_lo,ci95_hi,amortiser_win_rate,amortiser_evals,reference_evals
DE reparam G=40 + same operator,gp,208,1,scale,0.0579582271304523,0.33518626320604955,-0.27722803607559726,-0.2985263648272423,-0.25710884930966577,1.0,22.215962441314552,57.92253521126761
DE reparam G=40 + same operator,gp,208,1,scale+thin,0.04011667131756215,0.2113472745887967,-0.17123060327123454,-0.1919832248654958,-0.15199363606389663,0.9859154929577465,65.85211267605634,108.25211267605634
DE reparam G=40 + same operator,gp,208,2,none,0.06685559163272249,0.3410305744113676,-0.2741749827786451,-0.2944373892243464,-0.25568707629308973,0.9928571428571429,8.69718309859155,40.0
DE reparam G=40 + same operator,gp,208,2,scale,0.059021165223855074,0.33518626320604955,-0.27616509798219446,-0.2967675765556327,-0.2563715817767984,1.0,26.727699530516432,57.92253521126761
DE reparam G=40 + same operator,gp,208,2,scale+thin,0.04191213691686196,0.2113472745887967,-0.16943513767193477,-0.1910393536312741,-0.1510584853001695,1.0,70.81455399061034,108.25211267605634
DE reparam G=40 + same operator,gp,208,3,none,0.0697644082842055,0.3421113706414395,-0.272346962357234,-0.2918762894100062,-0.2543183257349218,0.9929078014184397,12.694835680751174,40.0
DE reparam G=40 + same operator,gp,208,3,scale,0.0669380200946963,0.33518626320604955,-0.2682482431113533,-0.28853596022995026,-0.24933296619339074,1.0,30.694835680751172,57.92253521126761
DE reparam G=40 + same operator,gp,208,3,scale+thin,0.04947719374364729,0.2113472745887967,-0.16187008084514942,-0.18113871548702037,-0.14382133247207848,0.9929577464788732,74.83568075117371,108.25211267605634
DE reparam G=40 + same operator,knn,50,1,none,0.021759808402054312,0.34046111203126506,-0.31870130362921073,-0.3395085806673307,-0.2961968159427188,0.9928571428571429,3.927230046948357,40.0
DE reparam G=40 + same operator,knn,50,1,scale,0.014715836986078963,0.33518626320604955,-0.32047042621997057,-0.34100271011906513,-0.3013890377814232,1.0,21.927230046948356,57.92253521126761
DE reparam G=40 + same operator,knn,50,1,scale+thin,0.00917798751537825,0.2113472745887967,-0.20216928707341847,-0.2217705258522524,-0.1838916002924936,1.0,64.85680751173709,108.25211267605634
DE reparam G=40 + same operator,knn,50,2,none,0.025052430431354883,0.3421113706414395,-0.3170589402100847,-0.33858451871404066,-0.2954502055806517,0.9858156028368794,8.12206572769953,40.0
DE reparam G=40 + same operator,knn,50,2,scale,0.02208302867558904,0.33518626320604955,-0.3131032345304606,-0.3346728693822313,-0.2919897323240719,0.9859154929577465,26.145539906103288,57.92253521126761
DE reparam G=40 + same operator,knn,50,2,scale+thin,0.015503964456044506,0.2113472745887967,-0.19584331013275222,-0.2176551268524816,-0.17586727779951275,0.9859154929577465,69.9225352112676,108.25211267605634
DE reparam G=40 + same operator,knn,50,3,none,0.023239946157028634,0.3421113706414395,-0.3188714244844109,-0.3402320914706745,-0.29754489960125946,0.9858156028368794,12.051643192488262,40.0
DE reparam G=40 + same operator,knn,50,3,scale,0.021659552230393397,0.33518626320604955,-0.3135267109756562,-0.3363535928602307,-0.29080854000184847,0.9859154929577465,30.070422535211268,57.92253521126761
DE reparam G=40 + same operator,knn,50,3,scale+thin,0.015148535067918772,0.2113472745887967,-0.19619873952087794,-0.2174258565695102,-0.17568742656609587,0.9859154929577465,73.84507042253522,108.25211267605634
DE reparam G=40 + same operator,knn,100,1,none,0.01095391189792652,0.33936066792464453,-0.3284067560267181,-0.34824434606005217,-0.3098924527593001,1.0,3.607981220657277,40.0
DE reparam G=40 + same operator,knn,100,1,scale,0.010099801187177085,0.33518626320604955,-0.3250864620188725,-0.3475695922536315,-0.30617691033378286,1.0,21.58450704225352,57.92253521126761
