label_set,N,model,topk,context_idx,span_m,load_kNm,gt_economy,mode,feasible,gap,n_dec,n_repair,n_total
0,50,knn,2,12,6.818181818181818,20.0,317.0885192434045,none,1,-0.0012620112099727132,11,0,11
0,50,knn,2,12,6.818181818181818,20.0,317.0885192434045,scale,1,-0.002374650118031396,11,18,29
0,50,knn,2,12,6.818181818181818,20.0,317.0885192434045,scale+thin,1,-0.003173430887156159,11,54,65
0,50,knn,3,12,6.818181818181818,20.0,317.0885192434045,none,1,-0.0012620112099727132,15,0,15
0,50,knn,3,12,6.818181818181818,20.0,317.0885192434045,scale,1,-0.002374650118031396,15,18,33
0,50,knn,3,12,6.818181818181818,20.0,317.0885192434045,scale+thin,1,-0.003173430887156159,15,54,69
0,50,knn,1,14,6.818181818181818,41.81818181818181,455.0251859822217,none,1,-0.0017732418403582084,3,0,3
0,50,knn,1,14,6.818181818181818,41.81818181818181,455.0251859822217,scale,1,-0.003234952577569228,3,18,21
0,50,knn,1,14,6.818181818181818,41.81818181818181,455.0251859822217,scale+thin,1,-0.008211454663959339,3,73,76
0,50,knn,2,14,6.818181818181818,41.81818181818181,455.0251859822217,none,1,-0.0017732418403582084,6,0,6
0,50,knn,2,14,6.818181818181818,41.81818181818181,455.0251859822217,scale,1,-0.003234952577569228,6,18,24
0,50,knn,2,14,6.818181818181818,41.81818181818181,455.0251859822217,scale+thin,1,-0.008211454663959339,6,73,79
0,50,knn,3,14,6.818181818181818,41.81818181818181,455.0251859822217,none,1,-0.0017732418403582084,9,0,9
0,50,knn,3,14,6.818181818181818,41.81818181818181,455.0251859822217,scale,1,-0.003234952577569228,9,18,27
0,50,knn,3,14,6.818181818181818,41.81818181818181,455.0251859822217,scale+thin,1,-0.008211454663959339,9,73,82
0,50,knn,1,15,6.818181818181818,52.72727272727273,519.9507333014534,none,1,-0.0012873903853944935,3,0,3
0,50,knn,1,15,6.818181818181818,52.72727272727273,519.9507333014534,scale,1,-0.002932539990060601,3,18,21
0,50,knn,1,15,6.818181818181818,52.72727272727273,519.9507333014534,scale+thin,1,-0.020353152524228868,3,73,76
0,50,knn,2,15,6.818181818181818,52.72727272727273,519.9507333014534,none,1,-0.0012873903853944935,6,0,6
0,50,knn,2,15,6.818181818181818,52.72727272727273,519.9507333014534,scale,1,-0.002932539990060601,6,18,24
0,50,knn,2,15,6.818181818181818,52.72727272727273,519.9507333014534,scale+thin,1,-0.020353152524228868,6,73,79
0,50,knn,3,15,6.818181818181818,52.72727272727273,519.9507333014534,none,1,-0.0012873903853944935,9,0,9
0,50,knn,3,15,6.818181818181818,52.72727272727273,519.9507333014534,scale,1,-0.002932539990060601,9,18,27
0,50,knn,3,15,6.818181818181818,52.72727272727273,519.9507333014534,scale+thin,1,-0.020353152524228868,9,73,82
0,50,knn,1,16,6.818181818181818,63.63636363636363,570.1996303697795,none,1,0.006997451067807914,4,0,4
0,50,knn,1,16,6.818181818181818,63.63636363636363,570.1996303697795,scale,1,0.005476834945551623,4,18,22
0,50,knn,1,16,6.818181818181818,63.63636363636363,570.1996303697795,scale+thin,1,0.004484251440053377,4,72,76
0,50,knn,2,16,6.818181818181818,63.63636363636363,570.1996303697795,none,1,0.006997451067807914,9,0,9
0,50,knn,2,16,6.818181818181818,63.63636363636363,570.1996303697795,scale,1,0.005476834945551623,9,18,27
0,50,knn,2,16,6.818181818181818,63.63636363636363,570.1996303697795,scale+thin,1,0.004484251440053377,9,72,81
0,50,knn,3,16,6.818181818181818,63.63636363636363,570.1996303697795,none,1,0.006997451067807914,12,0,12
0,50,knn,3,16,6.818181818181818,63.63636363636363,570.1996303697795,scale,1,0.005476834945551623,12,18,30
0,50,knn,3,16,6.818181818181818,63.63636363636363,570.1996303697795,scale+thin,1,0.004484251440053377,12,72,84
