context_idx,span_m,load_kNm,gt_economy,method,space,budget,seed,feasible,best_economy,gap,n_evals,n_direct,n_sizing,n_feasible_evals,n_at_best,wall_s,hp,h,b,tf,tw,fy,section_type
10,6.0,129.0909090909091,657.4964976148059,ms_nm,reparam,4800,1,1,704.9570277765982,0.0721837003451189,4800,1097,3703,2994,2366,2.3978090869995867,"{""start_evals"": 25}",598.7794710362584,165.36079595291721,13.760059628307218,9.483334150288043,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_nm,reparam,4800,2,1,683.6971260642083,0.03984907683075156,4800,1144,3656,2976,1129,2.8137901240002066,"{""start_evals"": 25}",404.2394656368552,202.18248668780714,13.845417994265304,8.042288573141398,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_nm,reparam,4800,3,1,693.2976675246376,0.05445073858143323,4800,1153,3647,3064,65,2.1374345790000007,"{""start_evals"": 25}",515.2435169377177,207.48107642159036,12.290335263030116,9.585610964402019,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_nm,reparam,4800,4,1,678.6506667227801,0.03217381261301777,4800,1165,3635,3001,4411,1.6873445720002564,"{""start_evals"": 25}",580.5858346725634,183.55547683499967,12.237031788999978,9.177773841749984,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,25,0,1,1824.7701574808498,1.7753306125592334,25,5,20,12,18,0.007494439000311104,"{""start_evals"": 25}",364.62251841117495,172.20305716405204,19.766328398837672,13.74080300011033,690.0,welded
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,25,1,1,1148.740899953811,0.7471437553220255,25,7,18,14,22,0.011525714000072185,"{""start_evals"": 25}",418.7539089022652,201.0018762730873,13.400125084872487,10.050093813654366,550.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,25,2,1,870.6227351802829,0.32414809559995095,25,7,18,16,25,0.015318970000407717,"{""start_evals"": 25}",602.4301506918509,175.6982300498328,11.71321533665552,8.784911502491639,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,25,3,1,740.1241295100317,0.12567007154406662,25,7,18,16,20,0.014059913999972196,"{""start_evals"": 25}",514.4537332293581,177.90893340875664,11.860595560583777,10.430734706696505,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,25,4,1,1822.243701527731,1.7714880735308371,25,7,18,19,9,0.00957788999994591,"{""start_evals"": 25}",324.4690664990919,169.21474587226908,26.933575989095594,6.0,690.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,50,0,1,925.7114073464837,0.40793359463461587,50,12,38,26,29,0.019762608000291948,"{""start_evals"": 25}",506.672369629817,181.40830357721848,24.289734531824383,6.0,355.0,welded
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,50,1,1,1008.6555813065844,0.5340851015414914,50,13,37,33,24,0.01960222999969119,"{""start_evals"": 25}",400.10666758874765,203.50788875137744,12.360330008175342,6.0,620.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,50,2,1,863.9790886128067,0.31404363634947985,50,14,36,35,28,0.019883976000073744,"{""start_evals"": 25}",423.56801841252604,173.18488705631054,20.204903489902897,13.619488183547423,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,50,3,1,882.8929067203574,0.3428100528644944,50,12,38,33,20,0.02333297199993467,"{""start_evals"": 25}",420.52480865406875,190.10813249069037,20.605788663704004,7.030561704707189,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,50,4,1,771.2407924572065,0.17299604675466673,50,12,38,34,38,0.020137398000315443,"{""start_evals"": 25}",496.7895366247085,208.93857521404544,14.179997843274403,6.9336237254643365,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,100,0,1,852.2399852760257,0.29618939168145975,100,23,77,63,89,0.0394315420003295,"{""start_evals"": 25}",418.0419341405217,262.0587286413348,15.88587709645353,6.0,355.0,welded
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,100,1,1,980.6133679595747,0.4914351202127114,100,20,80,55,69,0.039577667000230576,"{""start_evals"": 25}",479.07506431092594,208.67345175149026,10.884817349536723,7.67356281677879,550.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,100,2,1,994.0389990688967,0.5118544397954408,100,25,75,63,75,0.04401707200031524,"{""start_evals"": 25}",530.0939216634135,214.3323853504251,11.639620806033355,7.05966855073795,550.0,welded
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,100,3,1,1186.4589941513723,0.8045099836356222,100,22,78,58,50,0.041660833999685565,"{""start_evals"": 25}",462.2539118519849,221.26049231817953,12.465247369789552,10.53731162440234,550.0,welded
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,100,4,1,869.9137396279247,0.3230697696241773,100,22,78,60,93,0.039748501000303804,"{""start_evals"": 25}",414.3986906005308,211.1909344658636,15.441159350872908,8.168277779554277,460.0,welded
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,400,0,1,750.5505022677303,0.14152775716752197,400,88,312,245,158,0.14839879000010114,"{""start_evals"": 25}",452.6037581404753,213.5989652289948,14.23993101526632,10.67994826144974,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,400,1,1,799.321337516808,0.21570432757664681,400,89,311,244,201,0.16214050600001428,"{""start_evals"": 25}",544.1634136006065,145.36295910954811,16.277350397298452,10.46428156184714,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,400,2,1,785.5814286335408,0.19480701643793918,400,98,302,260,51,0.16407732700008637,"{""start_evals"": 25}",542.9234129566476,263.1703202592562,12.271745705677745,6.466424408822351,355.0,welded
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,400,3,1,779.8584771464556,0.18610286134685294,400,92,308,251,20,0.2384810500002459,"{""start_evals"": 25}",435.23499323709973,193.89367149466443,17.616083426167865,10.489963512010053,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,400,4,1,738.8708641771043,0.12376395442028887,400,92,308,248,158,0.22523371500028588,"{""start_evals"": 25}",437.5790997493366,187.81250374161178,14.426167476589015,9.552273286957293,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,1600,0,1,765.9326173856567,0.1649227336787702,1600,371,1229,1014,1367,0.9688938819999748,"{""start_evals"": 25}",534.0686365119873,233.49513369116056,12.98019443418529,6.0,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,1600,1,1,694.657526495135,0.0565189761696645,1600,361,1239,1010,1598,1.0605698940003094,"{""start_evals"": 25}",548.5061974857086,190.51676906566763,12.701117937711174,9.52583845328338,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,1600,2,1,696.8693174386271,0.05988293468733863,1600,365,1235,1024,573,1.1457266140000684,"{""start_evals"": 25}",483.4317927111414,242.56863164272693,13.146534804528274,7.603724390774002,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,1600,3,1,721.9983496153803,0.09810219861941039,1600,362,1238,1000,661,0.9412332470001274,"{""start_evals"": 25}",491.5821494654088,200.65771582738714,13.841773087411992,10.032885791369358,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,1600,4,1,721.0687234384765,0.09668831097091912,1600,374,1226,1048,310,1.0893303370003196,"{""start_evals"": 25}",375.35404417787856,197.15548379530665,15.994538193662423,8.130267804226282,460.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,4800,0,1,657.1431462423026,-0.0005374193988639808,4800,1081,3719,3060,44,1.675675279999723,"{""start_evals"": 25}",449.6270240550901,229.09548675080924,13.731036200427182,7.107791011187219,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,4800,1,1,665.5661590584514,0.012273314721705342,4800,1062,3738,3025,1649,1.5776253310000357,"{""start_evals"": 25}",481.8663501736629,222.98494394287096,13.303377283907318,7.6402431569826845,355.0,rolled
10,6.0,129.0909090909091,657.4964976148059,ms_slsqp,reparam,4800,2,1,674.9646692993998,0.026567703018895328,4800,1090,3710,3094,1235,1.65282574999992,"{""start_evals"": 25}",547.6331093678581,197.47212542927775,12.119646782251062,9.089735086688297,355.0,rolled
