method,space,budget,n_runs,n_contexts,n_seeds,feasibility_rate,gap_mean,gap_median,gap_p90,gap_p95,gap_max,gap_std,seedmean_mean,seedmean_sd,seedmean_min,seedmean_max,within_ctx_sd_mean,frac_gap_le_2pct,frac_gap_le_5pct,mean_evals,max_evals,mean_sizing_frac,mean_wall_s
ms_nm,raw,1600,710,142,5,0.9845070422535211,0.1948826085846398,0.1752942618456399,0.36345546656066047,0.42338858521262307,0.9750976948178616,0.12965608646204743,0.19488284179490467,0.005547861462912468,0.18594906953767562,0.19997451782185416,0.11157832495907155,0.054929577464788736,0.11690140845070422,1600.0,1600,0.0,0.5542904316211384
ms_nm,raw,4800,710,142,5,0.9901408450704225,0.11223171672908194,0.1040230686634156,0.21590837125075488,0.26041615493327464,1.0849552554526452,0.0934032104995156,0.11222755170711511,0.0035121377389450864,0.10813418796987251,0.11539210083903051,0.07088599201572858,0.1352112676056338,0.2605633802816901,4800.0,4800,0.0,1.6805276007436623
ms_slsqp,raw,25,710,142,5,0.37183098591549296,1.9845623648235977,1.4481977173281657,4.157302634041082,6.063330240230171,10.85288351602828,1.8049083210027974,1.9976365183739442,0.16058455178415745,1.8456200010064785,2.265118740127323,1.0363821995935925,0.0,0.0014084507042253522,25.0,25,0.0,0.018032166825348875
ms_slsqp,raw,50,710,142,5,0.5183098591549296,1.443186968703989,1.1659735253580068,2.564512377570552,3.3675495486407674,8.189739317410528,1.1157531758492423,1.4415480904853009,0.05570377746380604,1.3571045301550935,1.490495775944332,0.7419780474779801,0.0014084507042253522,0.0014084507042253522,50.0,50,0.0,0.031907522860575806
ms_slsqp,raw,100,710,142,5,0.6211267605633802,1.0044495315104998,0.8588031908590805,1.7877071517758374,2.2703187839798145,4.618364630177687,0.6788694261712847,1.005694580045742,0.07310963501233526,0.9377324258512734,1.1031465588402936,0.5197227413789841,0.0,0.0,100.0,100,0.0,0.06405149657324465
ms_slsqp,raw,400,710,142,5,0.7859154929577464,0.5927917950064839,0.5140375290566062,1.0754380395874519,1.2505987774348812,2.1775294888104,0.35033461456131415,0.5928376782971839,0.025969573178384834,0.5590521632580976,0.629687956603373,0.28905335643675384,0.005633802816901409,0.009859154929577466,400.0,400,0.0,0.2505182694957648
ms_slsqp,raw,1600,710,142,5,0.9154929577464789,0.35918335702745596,0.3009549938435653,0.6155105952847444,0.8840379934147906,2.464570214443984,0.2602406762660054,0.3589188938310522,0.0222775222566102,0.3318102252775624,0.3821589722404595,0.1758758003041235,0.011267605633802818,0.016901408450704224,1600.0,1600,0.0,0.9836180549774723
ms_slsqp,raw,4800,710,142,5,0.9887323943661972,0.19750797317449792,0.1751347437707191,0.3473856229594803,0.463045622825495,1.076660054266683,0.14324001428978672,0.1974715155654619,0.009060913195239342,0.1875770630205671,0.20857823180383886,0.10110119201390715,0.04647887323943662,0.09154929577464789,4800.0,4800,0.0,2.678591444142263
ga,reparam,25,710,142,5,0.9408450704225352,0.4328225848984812,0.3839328447787492,0.7462294365084928,0.9375815623567457,1.6771916488310192,0.25639844809287105,0.4328425986116523,0.019232952313256425,0.3985779396454308,0.4438131407975714,0.207900051655022,0.0,0.004225352112676056,25.0,25,0.7822535211267604,0.010005340819718529
ga,reparam,50,710,142,5,0.9619718309859155,0.31955939017223534,0.2806405805781393,0.5835293892195622,0.697299957183408,1.5983240253771074,0.20395266924104385,0.3195169719056381,0.009495330224811787,0.3114067018450382,0.33407149469107694,0.17609785328293392,0.004225352112676056,0.03380281690140845,50.0,50,0.7917464788732396,0.019101185673244935
ga,reparam,100,710,142,5,0.9746478873239437,0.2303933932565761,0.18471232794169784,0.4449844697048038,0.5774012720207959,1.4501664692166147,0.18002313730973485,0.23035973628568476,0.008684689001851613,0.2174654132243936,0.24149981150109848,0.13480791203871717,0.022535211267605635,0.07042253521126761,100.0,100,0.7932535211267606,0.03971990574930239
ga,reparam,400,710,142,5,0.9985915492957746,0.0860991141544167,0.0694429266839629,0.1769857285905397,0.20839116156560974,0.7896741466585577,0.08911444866181688,0.08609541929392728,0.004298075414518959,0.0823176488251783,0.09285090710654485,0.060885110803048585,0.21830985915492956,0.4056338028169014,400.0,400,0.7952781690140845,0.16269572099999233
ga,reparam,1600,710,142,5,1.0,0.016986430555051966,0.0022195889561004503,0.07564853875074241,0.09872607706503046,0.3764303600412462,0.04561287412022461,0.016986430555051966,0.00338560080644353,0.011372567685802491,0.02022388300852376,0.028702522104083753,0.7323943661971831,0.8380281690140845,1600.0,1600,0.7957711267605633,0.6830974686183162
ga,reparam,4800,710,142,5,1.0,-0.002706258839822533,-0.0048351499976811,0.009827083706026928,0.054627882473919,0.3660575450034524,0.03138121544829836,-0.0027062588398225327,0.003116115159524943,-0.005075408957611124,0.0022153608418541237,0.01513429864006054,0.9169014084507042,0.9450704225352112,4800.0,4800,0.7981285211267606,2.0391673181478804
de,reparam,25,710,142,5,0.9492957746478873,0.3977978709145775,0.35458917877845214,0.6481199104887272,0.848825297907493,1.9732321104087989,0.24924840829537578,0.3977816240778812,0.02134158762275987,0.36552727537291047,0.42212270960175013,0.18644081895602113,0.0,0.008450704225352112,25.0,25,0.7831549295774647,0.012282437883104475
de,reparam,50,710,142,5,0.9859154929577465,0.2836371929974218,0.25658996506291865,0.4593432835621659,0.5819547867105546,1.7415946145155283,0.17886742261466484,0.28362312116435395,0.013574978938579441,0.27055346058714475,0.2991376866729762,0.1326841935517318,0.0028169014084507044,0.01971830985915493,50.0,50,0.7903943661971832,0.02287123614649066
de,reparam,100,710,142,5,0.9901408450704225,0.20510196095035158,0.1849399887714233,0.35139453423283207,0.41744586276299117,1.0558912513051588,0.13071332851461862,0.2050903630619212,0.007279393873210627,0.19726008749474172,0.21322030438355072,0.10069620063402679,0.01267605633802817,0.056338028169014086,100.0,100,0.7961830985915495,0.04239392569013373
de,reparam,400,710,142,5,1.0,0.07411314130636547,0.061462708358287,0.14903493379980373,0.1713554292872936,0.4678416639276312,0.06090935765874755,0.07411314130636548,0.004772955858737259,0.06967155808146606,0.08140859873621313,0.04161425626283774,0.1591549295774648,0.4140845070422535,400.0,400,0.8008133802816902,0.16866061008872732
de,reparam,1600,710,142,5,1.0,0.017063050830248814,0.01024107176250795,0.04479376162554554,0.06176600140704454,0.2338347331283268,0.02563778446455946,0.01706305083024881,0.0005627530017038497,0.016201094766168836,0.017673843492575426,0.01720203520853469,0.6380281690140845,0.923943661971831,1600.0,1600,0.8034727112676057,0.6608494727239318
