context_idx,span_m,load_kNm,gt_economy,method,space,gen_budget,seed,mode,n_gen,n_repair,n_total,feasible,best_economy,gap
21,6.818182,118.181818,860.6462645405438,ppo_corrected,policy,40,0,scale,40,18,58,1,919.352949215584,0.0682123272868449
22,6.818182,129.090909,896.311601431932,ppo_corrected,policy,40,0,scale,40,18,58,1,935.8786079029824,0.04414425341347683
23,6.818182,140.0,931.1411275891702,ppo_corrected,policy,40,0,scale,40,18,58,1,1016.7327483362016,0.09192121173794332
24,7.636364,20.0,409.6201332461394,ppo_corrected,policy,40,0,scale,40,18,58,1,433.241275441078,0.05766596970648585
25,7.636364,30.909091,501.774525145321,ppo_corrected,policy,40,0,scale,40,18,58,1,652.3886911961506,0.30016303838304603
26,7.636364,41.818182,593.9298338756057,ppo_corrected,policy,40,0,scale,40,18,58,1,747.9754475856304,0.25936668765201043
27,7.636364,52.727273,675.9362632758116,ppo_corrected,policy,40,0,scale,40,18,58,1,707.14263112357,0.046167618965317736
28,7.636364,63.636364,779.5020738899598,ppo_corrected,policy,40,0,scale,40,18,58,1,991.3282477221808,0.2717454910352477
29,7.636364,74.545455,846.6406079690952,ppo_corrected,policy,40,0,scale,40,18,58,1,1060.9046184303338,0.2530755180468025
30,7.636364,85.454545,921.2774310054268,ppo_corrected,policy,40,0,scale,40,18,58,1,1001.0849780767292,0.08662705107646573
31,7.636364,96.363636,990.3158107657674,ppo_corrected,policy,40,0,scale,40,18,58,1,1045.9430814897644,0.056171243677290095
32,7.636364,107.272727,1055.0870687226268,ppo_corrected,policy,40,0,scale,40,18,58,1,1290.9825115250471,0.22357912422148662
33,7.636364,118.181818,1088.4839809208006,ppo_corrected,policy,40,0,scale,40,18,58,1,1362.2757374214518,0.25153494337053783
34,7.636364,129.090909,1173.7978050697595,ppo_corrected,policy,40,0,scale,40,18,58,1,1450.3723945355223,0.23562370646052266
35,7.636364,140.0,1251.7374258469372,ppo_corrected,policy,40,0,scale,40,18,58,1,1552.5745750204917,0.2403356670189878
36,8.454545,20.0,516.1523336674153,ppo_corrected,policy,40,0,scale,40,18,58,1,553.4902539424568,0.07233895468367746
37,8.454545,30.909091,633.218032838701,ppo_corrected,policy,40,0,scale,40,18,58,1,830.3369105794773,0.3112970059571696
38,8.454545,41.818182,757.3789000305048,ppo_corrected,policy,40,0,scale,40,18,58,1,878.50723840095,0.1599309650236711
39,8.454545,52.727273,897.7427828478864,ppo_corrected,policy,40,0,scale,40,18,58,1,925.1875780532092,0.030570889267703683
40,8.454545,63.636364,969.5859503873623,ppo_corrected,policy,40,0,scale,40,18,58,1,1106.046701514836,0.14074126287922772
41,8.454545,74.545455,1093.1775012217977,ppo_corrected,policy,40,0,scale,40,18,58,1,1202.8576298010937,0.10033149095797467
42,8.454545,85.454545,1181.2789978646645,ppo_corrected,policy,40,0,scale,40,18,58,1,1318.8971714290103,0.116499297636808
43,8.454545,96.363636,1257.923897819336,ppo_corrected,policy,40,0,scale,40,18,58,1,1315.8220733343294,0.04602677126602206
44,8.454545,107.272727,1352.4875507253705,ppo_corrected,policy,40,0,scale,40,18,58,1,1690.2633203989708,0.24974408784202362
45,8.454545,118.181818,1418.3994702060834,ppo_corrected,policy,40,0,scale,40,18,58,1,1490.284969481299,0.050680714978532215
46,8.454545,129.090909,1503.943042662674,ppo_corrected,policy,40,0,scale,40,18,58,1,1682.2748849298132,0.11857619418313159
47,8.454545,140.0,1589.050557323039,ppo_corrected,policy,40,0,scale,40,18,58,1,1920.8136201043692,0.20878068432273666
48,9.272727,20.0,633.3700898588271,ppo_corrected,policy,40,0,scale,40,18,58,1,844.6779490042617,0.33362462567901385
49,9.272727,30.909091,801.8071464602682,ppo_corrected,policy,40,0,scale,40,18,58,1,922.3811715853748,0.15037783793447557
50,9.272727,41.818182,962.5021253931346,ppo_corrected,policy,40,0,scale,40,18,58,1,1098.3889835749744,0.14118083960213257
51,9.272727,52.727273,1070.6846994207378,ppo_corrected,policy,40,0,scale,40,18,58,1,1241.3103632287723,0.1593612609765942
52,9.272727,63.636364,1216.7126656588257,ppo_corrected,policy,40,0,scale,40,18,58,1,1437.819430570128,0.18172471706093174
53,9.272727,74.545455,1356.4151141978043,ppo_corrected,policy,40,0,scale,40,18,58,1,1957.7404864857097,0.4433195752493029
54,9.272727,85.454545,1422.5235716023028,ppo_corrected,policy,40,0,scale,40,18,58,1,1908.501852082276,0.3416310915203864
55,9.272727,96.363636,1530.0841209322955,ppo_corrected,policy,40,0,scale,40,18,58,1,1945.6230474708395,0.27157913794004473
56,9.272727,107.272727,1647.0835657255905,ppo_corrected,policy,40,0,scale,40,18,58,1,1766.1258565352014,0.07227459085062815
57,9.272727,118.181818,1794.0191544704012,ppo_corrected,policy,40,0,scale,40,18,58,1,1923.216578051394,0.07201563219604101
58,9.272727,129.090909,1876.6125693849333,ppo_corrected,policy,40,0,scale,40,18,58,1,2252.095191020785,0.20008531742858215
59,9.272727,140.0,1975.8458780810136,ppo_corrected,policy,40,0,scale,40,18,58,1,2241.788520932176,0.1345968558587436
60,10.090909,20.0,771.2799576046779,ppo_corrected,policy,40,0,scale,40,18,58,1,897.3988848371193,0.16351899979888262
61,10.090909,30.909091,964.7090665866748,ppo_corrected,policy,40,0,scale,40,18,58,1,1081.365004287817,0.12092343872530753
