method,space,mode,gen_budget,n_runs,n_contexts,n_seeds,feasibility_rate,gap_mean,gap_median,gap_p90,gap_worst,seedmean_sd,frac_gap_le_2pct,frac_gap_le_5pct,mean_n_gen,mean_n_repair,mean_n_total,max_n_total
de,reparam,scale,40,710,142,5,0.9887323943661972,0.3711140017933112,0.3540045564329529,0.6086794815017003,1.529380569221662,0.013035532399403558,0.008450704225352112,0.023943661971830985,40.0,17.922535211267604,57.92253521126761,61
de,reparam,scale,100,710,142,5,1.0,0.22476026680683894,0.20315367890212466,0.39157867343429814,0.8100536016796702,0.0053839255405314,0.018309859154929577,0.06056338028169014,100.0,18.00985915492958,118.00985915492957,119
de,reparam,scale,400,710,142,5,1.0,0.07438880332377298,0.06348695916396324,0.15147611164765554,0.3550217399637478,0.002644422317311677,0.1563380281690141,0.3845070422535211,400.0,18.0,418.0,418
ga,reparam,scale,10,710,142,5,0.9577464788732394,0.7173438516921913,0.6607670321634936,1.2287195878332442,2.285730160451496,0.030616851005474822,0.009859154929577466,0.014084507042253521,10.0,17.71549295774648,27.71549295774648,34
ga,reparam,scale,25,710,142,5,0.9802816901408451,0.48365542644465165,0.4465134176454567,0.8280196488038486,1.630582531627843,0.023571357060517682,0.007042253521126761,0.015492957746478873,25.0,17.86338028169014,42.86338028169014,45
ga,reparam,scale,40,710,142,5,0.9915492957746479,0.401396356234625,0.3704411518881887,0.7005072749678184,1.3450007774969277,0.026072828710763093,0.008450704225352112,0.01971830985915493,40.0,17.961971830985917,57.96197183098592,62
ga,reparam,scale,100,710,142,5,0.9943661971830986,0.25465555133827533,0.2157939188642116,0.48055597530149863,1.3281380644723986,0.004188942267178222,0.02535211267605634,0.07464788732394366,100.0,17.984507042253522,117.98450704225353,124
ga,reparam,scale,400,710,142,5,1.0,0.09174823636849085,0.0745063983601221,0.20711499022022511,0.5816936784064917,0.004849421925214176,0.2295774647887324,0.38591549295774646,400.0,18.001408450704226,418.0014084507042,419
de,raw,scale+thin,10,710,142,5,0.9549295774647887,0.4590428052062133,0.4110877017621666,0.8941310699525831,2.0041442270812366,0.043846877634936124,0.02676056338028169,0.04929577464788732,10.0,71.74788732394366,81.74788732394366,103
de,raw,scale+thin,25,710,142,5,0.9746478873239437,0.3445006764627149,0.3027993578832414,0.7035347332758336,1.3317667046616073,0.01453150088557191,0.04507042253521127,0.08873239436619719,25.0,72.82535211267606,97.82535211267606,114
de,raw,scale+thin,40,710,142,5,0.9732394366197183,0.29813231541833324,0.2464641699802405,0.6284199495128677,1.4152975427312842,0.013017483109713391,0.056338028169014086,0.11408450704225352,40.0,72.40845070422536,112.40845070422536,128
de,raw,scale+thin,100,710,142,5,0.9915492957746479,0.17917801013238072,0.12780806831113556,0.44205145070125207,1.0248727027866824,0.010636407413514883,0.11830985915492957,0.271830985915493,100.0,74.5830985915493,174.5830985915493,188
de,raw,scale+thin,400,710,142,5,0.9985915492957746,0.0687077469983902,0.0406825403496391,0.16575629802193262,0.5687281630146808,0.0033961537202558357,0.33943661971830985,0.5619718309859155,400.0,71.18732394366197,471.18732394366197,485
