arm,repair_mode,span_m,load_kNm,optimal,optimal_grade,optimal_type,achieved,gap,feasible,feasible_before,utilization,section_class,h,b,tf,tw,fy,section_type,grade_match,repaired,variant,scale,n_ec3_gen,n_ec3_repair,n_ec3,t_gen,t_repair,sec_per_design,method,seed,gap_mass,gap_co2
ga,none,6.818181818181818,107.27272727272728,798.4291807439346,355,rolled,808.0907219101039,0.0121006864468144,True,True,1.0009997086821243,2,459.3361723611909,233.2188761919575,14.202661823398769,7.96108578947373,355.0,rolled,1.0,False,original,,4800,1,4801,0.9318265914916992,0.0001289844512939,0.9319555759429932,ga,-1,0.3254888751437013,0.5338252278457671
ga,none,6.818181818181818,118.18181818181816,852.2289524013323,460,rolled,860.5970145374303,0.0098190305698007,True,True,1.0009995435007817,1,468.03666859206095,234.39498977549272,15.575195974100131,7.798807915237774,355.0,rolled,0.0,False,original,,4800,1,4801,0.998122215270996,0.000140905380249,0.9982631206512452,ga,-1,0.33895431138496335,0.5508278520013958
ga,none,6.818181818181818,129.0909090909091,896.311601431932,355,rolled,896.9955617004806,0.0007630831369982,True,True,1.0009995661691136,2,548.8738435442782,229.2188067878185,14.75984905093619,8.462697280452089,355.0,rolled,1.0,False,original,,4800,1,4801,0.9743490219116212,0.0001304149627685,0.9744794368743896,ga,-1,0.3249709080872991,0.5246271479157165
ga,none,6.818181818181818,140.0,931.1411275891702,355,rolled,937.7499589321826,0.0070975614192055,True,True,1.0009998089738124,2,596.0580803285683,229.1833366424901,13.95529670805928,9.279428803156426,355.0,rolled,1.0,False,original,,4800,1,4801,0.9483492374420166,0.0001301765441894,0.948479413986206,ga,-1,0.3416139209927014,0.518434830550125
ga,none,7.636363636363637,20.0,409.6201332461394,355,rolled,410.27602400628695,0.0016012170958242,True,True,1.00096091141051,2,299.3642619047605,154.67308952115928,9.28882459946077,6.000107469453217,355.0,rolled,1.0,False,original,,4800,1,4801,0.9464786052703856,0.000173807144165,0.9466524124145508,ga,-1,0.07976735838951177,0.22726936710985624
ga,none,7.636363636363637,30.909090909090907,501.774525145321,355,rolled,505.92909973229024,0.0082797638755495,True,True,1.0009997954844825,2,342.6027525343006,172.30766494373955,10.718915941801226,6.000112965872582,355.0,rolled,1.0,False,original,,4800,1,4801,0.9087603092193604,0.0001263618469238,0.9088866710662842,ga,-1,0.10691525734604124,0.26637201556332957
ga,none,7.636363636363637,41.81818181818181,593.9298338756057,355,rolled,584.6182992443095,-0.0156778361688537,True,True,1.0009976044591995,2,377.2752300631498,190.95027476416237,11.439499994060208,6.000128670366918,355.0,rolled,1.0,False,original,,4800,1,4801,0.972569704055786,0.0001256465911865,0.9726953506469728,ga,-1,0.11920869157051328,0.29979681729086183
ga,none,7.636363636363637,52.72727272727273,675.9362632758116,355,rolled,709.9006936735677,0.0502479778687316,True,True,1.0009966395872525,2,470.1460810147257,184.37681069472163,12.625816675849254,7.26298123792791,355.0,rolled,1.0,False,original,,4800,1,4801,0.9263317584991456,0.000150442123413,0.9264822006225586,ga,-1,0.23661343500277865,0.44057563259793264
ga,none,7.636363636363637,63.63636363636363,779.5020738899598,355,rolled,750.0646825102415,-0.037764352868,True,True,1.00095674135501,2,423.6565986751028,216.86507911087884,13.165716443519983,6.6014790413683215,355.0,rolled,1.0,False,original,,4800,1,4801,0.9334836006164552,0.0001449584960937,0.9336285591125488,ga,-1,0.2036737936388,0.3766154001479911
ga,none,7.636363636363637,74.54545454545453,846.6406079690952,355,rolled,876.5823765562449,0.0353653820822195,True,True,1.0009074773592634,2,549.7752471364569,193.5610204366874,13.582747282496518,8.57379107403278,355.0,rolled,1.0,False,original,,4800,1,4801,1.1218960285186768,0.0001776218414306,1.1220736503601074,ga,-1,0.30874035034633773,0.5174065851783076
ga,none,7.636363636363637,85.45454545454545,921.2774310054268,355,rolled,916.51753870481,-0.0051666220623924,True,True,1.0009999076593648,2,539.4756810472621,222.38373862349167,13.248132490602524,8.363441440972222,355.0,rolled,1.0,False,original,,4800,1,4801,1.5710711479187012,0.0003161430358886,1.5713872909545898,ga,-1,0.2793251434870667,0.4855684100442881
ga,none,7.636363636363637,96.36363636363636,990.3158107657674,355,rolled,985.4042364962356,-0.0049596040133236,True,True,1.0000605723698066,2,535.7285638610882,236.0386052401656,14.287214677890985,8.287977774131292,355.0,rolled,1.0,False,original,,4800,1,4801,1.5110058784484863,0.0001823902130126,1.511188268661499,ga,-1,0.29645575495810683,0.5031344584769464
ga,none,7.636363636363637,107.27272727272728,1055.0870687226268,355,rolled,1036.3815203611557,-0.0177289144336853,True,True,1.000996824731773,2,497.08285079378027,254.4093738941666,15.47894972369438,7.80549102120076,355.0,rolled,1.0,False,original,,4800,1,4801,1.387026309967041,0.0001533031463623,1.387179613113403,ga,-1,0.30249334036545106,0.4955647272806194
ga,none,7.636363636363637,118.18181818181816,1088.4839809208006,355,rolled,1114.4618259919766,0.0238660793603964,True,True,1.0003439407766517,2,589.2089787821355,242.79140237467,14.92055603753217,9.182918205990813,355.0,rolled,1.0,False,original,,4800,1,4801,0.9520263671875,0.0001435279846191,0.9521698951721193,ga,-1,0.34032776756107985,0.5125993795045605
ga,none,7.636363636363637,129.0909090909091,1173.7978050697595,355,rolled,1173.6668713247088,-0.00011154710333,True,True,1.0009972056251164,2,596.9517546197181,250.4070700255788,15.622629445394344,9.219508281789738,355.0,rolled,1.0,False,original,,4800,1,4801,0.93902587890625,0.0001399517059326,0.9391658306121826,ga,-1,0.30126744060470934,0.4998947163186158
ga,none,7.636363636363637,140.0,1251.7374258469372,355,rolled,1244.9116979834555,-0.0054530029401838,True,True,1.000999986797655,2,648.9643343379477,238.28679452328143,15.924626427069493,10.114565689381353,355.0,rolled,1.0,False,original,,4800,1,4801,0.9733798503875732,0.0001273155212402,0.9735071659088136,ga,-1,0.36395840485977127,0.5265425014046177
