costing,space,proposals,span_m,load_kNm,reference,achieved,gap
original,raw,400,8.454545454545455,41.81818181818181,717.4096387563654,982.6705779428539,0.36974822312998223
original,raw,400,8.454545454545455,52.72727272727273,805.5999538966952,1145.494666560912,0.42191501007434606
original,raw,400,8.454545454545455,63.63636363636363,885.8271517939731,1268.891609973464,0.4324370249926417
original,raw,400,8.454545454545455,74.54545454545453,968.3951313197734,1273.4894583747025,0.31505148795939575
original,raw,400,8.454545454545455,85.45454545454545,1050.1554168290577,1384.1926752714621,0.318083640849113
original,raw,400,8.454545454545455,96.36363636363636,1161.2113106394324,1359.7902304734741,0.1710101495004317
original,raw,400,8.454545454545455,107.27272727272728,1247.3930159794309,1539.8750084781425,0.23447461125077718
original,raw,400,8.454545454545455,118.18181818181816,1285.189935510621,1725.794803691456,0.342832491919397
original,raw,400,8.454545454545455,129.0909090909091,1359.5228722374015,1732.1662762690275,0.27409866478991796
original,raw,400,8.454545454545455,140.0,1454.9800312964985,1721.0012553752993,0.1828349656742405
original,raw,400,9.272727272727272,20.0,618.4530890237875,745.3409540238649,0.20516974893013584
original,raw,400,9.272727272727272,30.909090909090907,761.4534867686122,1162.2640510024335,0.5263756371183552
original,raw,400,9.272727272727272,41.81818181818181,881.2556840948919,1212.8375929461088,0.37626073208455213
original,raw,400,9.272727272727272,52.72727272727273,989.9883669803154,1437.6172232396923,0.4521556729244651
original,raw,400,9.272727272727272,63.63636363636363,1106.6209977316942,1612.2049812658472,0.4568718509503056
original,raw,400,9.272727272727272,74.54545454545453,1247.7748019974165,1783.872654467735,0.4296431147769151
original,raw,400,9.272727272727272,85.45454545454545,1317.098439688467,1623.0516461468499,0.2322933481955609
original,raw,400,9.272727272727272,96.36363636363636,1414.7279425408665,1843.3771054694885,0.3029905256262653
original,raw,400,9.272727272727272,107.27272727272728,1522.6725742575536,1984.2923805568482,0.30316419570660336
original,raw,400,9.272727272727272,118.18181818181816,1645.849345217246,1984.7009262240965,0.2058825019383066
original,raw,400,9.272727272727272,129.0909090909091,1740.933618872136,2259.393192894866,0.2978054811524715
original,raw,400,9.272727272727272,140.0,1856.5687456377927,2429.8380779107915,0.308778941593171
original,raw,400,10.09090909090909,20.0,742.9343178494156,1121.1256901475383,0.5090508854038127
original,raw,400,10.09090909090909,30.909090909090907,915.5475138288588,1312.0213690077487,0.43304563574294397
original,raw,400,10.09090909090909,41.81818181818181,1059.829316571149,1322.065902558373,0.2474328478057526
original,raw,400,10.09090909090909,52.72727272727273,1213.1595349712586,1466.5591531237746,0.20887575858563356
original,raw,400,10.09090909090909,63.63636363636363,1357.496004947102,2088.491797439735,0.5384883563772389
original,raw,400,10.09090909090909,74.54545454545453,1486.8770563048004,2131.2194020408415,0.43335280681333943
original,raw,400,10.09090909090909,85.45454545454545,1614.031417022214,2068.5661961826886,0.28161457972055004
original,raw,400,10.09090909090909,96.36363636363636,1771.028921502606,2339.198009121306,0.32081299222185744
original,raw,400,10.09090909090909,107.27272727272728,1916.4589042949708,2145.7569542456463,0.11964673462957975
original,raw,400,10.09090909090909,118.18181818181816,2076.30196798726,2650.399369893055,0.27649995557357077
original,raw,400,10.09090909090909,129.0909090909091,2210.304923798717,2675.2991983603456,0.21037562263693066
