span_m,load_kNm,optimal_economy,optimal_grade,optimal_type,agent_economy,agent_grade,agent_type,agent_util,feasible,in_target_band,gap,gap_mass,gap_co2
6.818181818181818,74.54545454545453,645.0378754655677,355,rolled,850.3510775919888,500.0,rolled,1.0009868856253223,True,True,0.3182963511688869,0.12558122994560061,0.28228393476727537
6.818181818181818,85.45454545454545,698.212152166206,355,rolled,930.489817401577,500.0,rolled,1.0009880060049614,True,True,0.3326749105049642,0.16569330090722773,0.3003745885966552
6.818181818181818,96.36363636363636,733.8166260116295,355,rolled,987.5601405961402,500.0,rolled,1.0009902009140517,True,True,0.34578599828629303,0.16258944583564805,0.31399389094060276
6.818181818181818,107.27272727272728,798.4291807439346,355,rolled,1053.4737368568874,500.0,rolled,1.0009974185663058,True,True,0.31943290934747104,0.17802102805361766,0.3268557150077941
6.818181818181818,118.18181818181816,852.2289524013323,460,rolled,1148.981920975107,500.0,rolled,1.0009959976247926,True,True,0.34820803463389904,0.21868784947510936,0.3739191669196115
6.818181818181818,129.0909090909091,896.311601431932,355,rolled,1174.7756032125835,500.0,rolled,1.000991487400702,True,True,0.31067767206826535,0.18299887204090867,0.32498970369046365
6.818181818181818,140.0,931.1411275891702,355,rolled,1273.5719628533002,500.0,rolled,1.0009992133961778,True,True,0.36775395814673356,0.2421594708722906,0.3684118400372796
7.636363636363637,20.0,409.6201332461394,355,rolled,626.2903310812509,500.0,rolled,1.0009907082146907,True,True,0.5289539752796161,0.1236812300239578,0.2431504548182175
7.636363636363637,30.909090909090907,501.774525145321,355,rolled,738.6324558247903,500.0,rolled,1.000989895125639,True,True,0.4720405656522159,0.1017079008627201,0.22682964631314317
7.636363636363637,41.81818181818181,593.9298338756057,355,rolled,847.1987604107253,500.0,rolled,1.0009904487457228,True,True,0.4264290360402487,0.10570008698674509,0.2498923380036432
7.636363636363637,52.72727272727273,675.9362632758116,355,rolled,949.8829451293747,500.0,rolled,1.00098940675223,True,True,0.4052847831035525,0.12802782684371236,0.2790654973579689
7.636363636363637,63.63636363636363,779.5020738899598,355,rolled,1058.7608706226122,500.0,rolled,1.000991916418632,True,True,0.3582527950683485,0.15830074028885624,0.2894248014004904
7.636363636363637,74.54545454545453,846.6406079690952,355,rolled,1163.3139585109918,500.0,rolled,1.0009932433217912,True,True,0.37403515442228363,0.18405277456999353,0.3362582474302594
7.636363636363637,85.45454545454545,921.2774310054268,355,rolled,1201.4955818420406,500.0,rolled,1.0009889895736805,True,True,0.30416261313467813,0.1433407870214596,0.2922849419572754
7.636363636363637,96.36363636363636,990.3158107657674,355,rolled,1281.3320130797924,500.0,rolled,1.0009979807075067,True,True,0.2938620177022066,0.14926006185248208,0.296968154568207
7.636363636363637,107.27272727272728,1055.0870687226268,355,rolled,1366.237154628488,500.0,rolled,1.000989346878891,True,True,0.2949046530184135,0.17056438344750746,0.30826545866155636
7.636363636363637,118.18181818181816,1088.4839809208006,355,rolled,1463.1962668867384,500.0,rolled,1.000992390764171,True,True,0.34425153932807606,0.19966990836603768,0.31778796028208994
