reference,model,N,topk,mode,amortiser_gap,reference_gap,diff,ci95_lo,ci95_hi,amortiser_win_rate,amortiser_evals,reference_evals,region
DE reparam G=40 + repair (OOD),mlp,208,3,none,0.12245543149344969,0.4061128297849479,-0.28365739829149816,-0.3656491822613725,-0.21306436026452333,1.0,16.397435897435898,40.0,span_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,3,scale,0.1256801325721507,0.39176257829536065,-0.26608244572321005,-0.32836914748966617,-0.2099474482342137,1.0,33.06410256410256,57.58461538461538,span_extrapolation
DE reparam G=40 + repair (OOD),mlp,208,3,scale+thin,0.05566879394189194,0.30358514121547114,-0.24791634727357922,-0.31655122931200896,-0.1848187344411417,1.0,85.88461538461539,113.15384615384616,span_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,1,none,0.15920132653769892,0.34749619772114926,-0.1882948711834503,-0.2682716829170457,-0.1220507106811037,1.0,7.115384615384615,40.0,span_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,1,scale,0.14016728533430736,0.3801640990986623,-0.23999681376435492,-0.33095452019873267,-0.15560898519466976,0.9473684210526315,22.71794871794872,57.58461538461538,span_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,1,scale+thin,0.058839621839244606,0.28427199571068484,-0.22543237387144024,-0.31661461969445526,-0.14165083090148817,0.9473684210526315,71.6923076923077,113.15384615384616,span_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,2,none,0.14683709079021662,0.4061128297849479,-0.25927573899473133,-0.34871649858691844,-0.1803186650177602,1.0,12.628205128205128,40.0,span_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,2,scale,0.13823866245815317,0.39176257829536065,-0.25352391583720757,-0.3333512359302213,-0.17951062917312482,0.9545454545454546,29.346153846153847,57.58461538461538,span_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,2,scale+thin,0.05611228212670754,0.30358514121547114,-0.24747285908876362,-0.33082730383791487,-0.16999430803730226,0.9545454545454546,83.03846153846153,113.15384615384616,span_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,3,none,0.15376367320879475,0.4224040984323975,-0.2686404252236027,-0.3549532757645418,-0.18857797453563305,1.0,17.76923076923077,40.0,span_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,3,scale,0.15260887132673373,0.39176257829536065,-0.23915370696862698,-0.3079084176449493,-0.17021834644083783,0.9545454545454546,34.41025641025641,57.58461538461538,span_extrapolation
DE reparam G=40 + repair (OOD),poly3,208,3,scale+thin,0.07048249099528811,0.30358514121547114,-0.23310265022018306,-0.3067246256805236,-0.16443081979957844,0.9545454545454546,88.01282051282051,113.15384615384616,span_extrapolation
GA raw G=40 + repair (OOD),gp,208,1,none,0.03484936998601262,0.7467927591852234,-0.7119433891992106,-0.8178417649516706,-0.5999041771938926,1.0,7.923076923076923,40.0,span_extrapolation
GA raw G=40 + repair (OOD),gp,208,1,scale,0.026476408746496125,0.750807168020544,-0.7243307592740479,-0.8229402182817038,-0.6258255795831169,1.0,23.67948717948718,57.65384615384615,span_extrapolation
GA raw G=40 + repair (OOD),gp,208,1,scale+thin,0.026009599887434155,0.508212617241143,-0.4822030173537089,-0.5713901009726249,-0.3986724300470874,1.0,70.55128205128206,110.45384615384616,span_extrapolation
GA raw G=40 + repair (OOD),gp,208,2,none,0.0386358177350939,0.8071386804102988,-0.7685028626752048,-0.892707211611878,-0.649412074984352,1.0,14.538461538461538,40.0,span_extrapolation
GA raw G=40 + repair (OOD),gp,208,2,scale,0.03418279802028614,0.7741669040822966,-0.7399841060620104,-0.8461243243902556,-0.6374793279813787,1.0,31.28205128205128,57.65384615384615,span_extrapolation
GA raw G=40 + repair (OOD),gp,208,2,scale+thin,0.03372583747638238,0.5452852568727429,-0.5115594193963604,-0.6045949449483884,-0.4204793246871056,1.0,84.06410256410257,110.45384615384616,span_extrapolation
GA raw G=40 + repair (OOD),gp,208,3,none,0.043777571955735124,0.8071386804102988,-0.7633611084545637,-0.8847064915897952,-0.6436800537742796,1.0,20.82051282051282,40.0,span_extrapolation
GA raw G=40 + repair (OOD),gp,208,3,scale,0.05680758352819633,0.7741669040822966,-0.7173593205541002,-0.818390044243674,-0.6137005825552082,1.0,37.47435897435897,57.65384615384615,span_extrapolation
GA raw G=40 + repair (OOD),gp,208,3,scale+thin,0.05635062298429257,0.5452852568727429,-0.4889346338884501,-0.5782682455140206,-0.4052803367984648,1.0,90.3076923076923,110.45384615384616,span_extrapolation
GA raw G=40 + repair (OOD),knn,208,1,none,0.01403283542855191,0.717159142654761,-0.703126307226209,-0.8053082107394385,-0.5941426969574859,1.0,8.179487179487179,40.0,span_extrapolation
GA raw G=40 + repair (OOD),knn,208,1,scale,0.009867177825500884,0.750807168020544,-0.7409399901950432,-0.8448982309727345,-0.6451765733664804,1.0,24.0,57.65384615384615,span_extrapolation
GA raw G=40 + repair (OOD),knn,208,1,scale+thin,0.009768640557273837,0.508212617241143,-0.4984439766838692,-0.5846766684643806,-0.4154102236053452,1.0,70.66666666666667,110.45384615384616,span_extrapolation
GA raw G=40 + repair (OOD),knn,208,2,none,0.035321560542947564,0.8071386804102988,-0.7718171198673511,-0.8891154603814523,-0.6520372126946017,1.0,14.961538461538462,40.0,span_extrapolation
GA raw G=40 + repair (OOD),knn,208,2,scale,0.0388319552676343,0.7741669040822966,-0.7353349488146622,-0.8388152196122532,-0.6349955498891695,1.0,31.692307692307693,57.65384615384615,span_extrapolation
GA raw G=40 + repair (OOD),knn,208,2,scale+thin,0.02411394080989624,0.5452852568727429,-0.5211713160628464,-0.6120696609892998,-0.4362583145612594,1.0,83.96153846153847,110.45384615384616,span_extrapolation
GA raw G=40 + repair (OOD),knn,208,3,none,0.04033889424096195,0.8071386804102988,-0.7667997861693369,-0.8819681745379305,-0.6469626395362438,1.0,21.128205128205128,40.0,span_extrapolation
GA raw G=40 + repair (OOD),knn,208,3,scale,0.05296806655141709,0.7741669040822966,-0.7211988375308794,-0.8342413893487114,-0.6157178676836293,1.0,37.782051282051285,57.65384615384615,span_extrapolation
GA raw G=40 + repair (OOD),knn,208,3,scale+thin,0.03825005514849826,0.5452852568727429,-0.5070352017242444,-0.5988596484436094,-0.4214951631841677,1.0,89.96153846153847,110.45384615384616,span_extrapolation
GA raw G=40 + repair (OOD),mlp,208,1,none,0.11578010001228127,0.7907590514007791,-0.6749789513884977,-0.807877309192839,-0.5481951709227532,1.0,7.0,40.0,span_extrapolation
GA raw G=40 + repair (OOD),mlp,208,1,scale,0.10628492075090827,0.750807168020544,-0.6445222472696357,-0.7424383251952315,-0.5484691434540653,1.0,22.602564102564102,57.65384615384615,span_extrapolation
GA raw G=40 + repair (OOD),mlp,208,1,scale+thin,0.03829090730052672,0.508212617241143,-0.4699217099406163,-0.5573533991199358,-0.3840425121247286,1.0,70.97435897435898,110.45384615384616,span_extrapolation
GA raw G=40 + repair (OOD),mlp,208,2,none,0.10987743221487874,0.8071386804102988,-0.6972612481954201,-0.8154088587546525,-0.5813007572179865,1.0,11.897435897435898,40.0,span_extrapolation
GA raw G=40 + repair (OOD),mlp,208,2,scale,0.11307604608435384,0.7741669040822966,-0.6610908579979428,-0.7559704890499527,-0.5683523631125463,1.0,28.641025641025642,57.65384615384615,span_extrapolation
GA raw G=40 + repair (OOD),mlp,208,2,scale+thin,0.03917005408087702,0.5452852568727429,-0.5061152027918657,-0.5962067239452993,-0.41637869034205205,1.0,81.56410256410257,110.45384615384616,span_extrapolation
GA raw G=40 + repair (OOD),mlp,208,3,none,0.11472220932353798,0.8071386804102988,-0.692416471086761,-0.8129558835201838,-0.5746445398974624,1.0,16.397435897435898,40.0,span_extrapolation
