reference,model,N,topk,mode,amortiser_gap,reference_gap,diff,ci95_lo,ci95_hi,amortiser_win_rate,amortiser_evals,reference_evals,region
GA raw G=40 + repair (OOD),gp,208,1,none,0.018948800206381677,0.6042161930607585,-0.5852673928543768,-0.6660600540178973,-0.5050460232024306,1.0,6.539007092198582,40.0,load_extrapolation
GA raw G=40 + repair (OOD),gp,208,1,scale,0.02850389758738513,0.6301642247626316,-0.6016603271752464,-0.6783462688906852,-0.5292159336336567,1.0,23.45390070921986,57.46382978723404,load_extrapolation
GA raw G=40 + repair (OOD),gp,208,1,scale+thin,0.025086153562170293,0.35384199078726386,-0.32875583722509355,-0.3939310735246772,-0.2676646982652068,1.0,68.94326241134752,111.28085106382979,load_extrapolation
GA raw G=40 + repair (OOD),gp,208,2,none,0.014963296777573035,0.6042161930607585,-0.5892528962831854,-0.6692988110662794,-0.5134454331582966,1.0,12.872340425531915,40.0,load_extrapolation
GA raw G=40 + repair (OOD),gp,208,2,scale,0.019861512468355495,0.6215097469605797,-0.6016482344922242,-0.6853416295742374,-0.5219954554974624,1.0,29.829787234042552,57.46382978723404,load_extrapolation
GA raw G=40 + repair (OOD),gp,208,2,scale+thin,0.016139242937286007,0.3510711177647715,-0.33493187482748543,-0.401360136435483,-0.2738350994805835,1.0,76.94326241134752,111.28085106382979,load_extrapolation
GA raw G=40 + repair (OOD),gp,208,3,none,0.0332212257536207,0.622973488842122,-0.5897522630885011,-0.6730801355870892,-0.5130172439566913,0.9714285714285714,18.29078014184397,40.0,load_extrapolation
GA raw G=40 + repair (OOD),gp,208,3,scale,0.05662310231143303,0.6079562990037647,-0.5513331966923314,-0.6227990401811645,-0.48185346212150276,1.0,35.652482269503544,57.46382978723404,load_extrapolation
GA raw G=40 + repair (OOD),gp,208,3,scale+thin,0.05421969508065497,0.3461854983788549,-0.29196580329819993,-0.3471807886009641,-0.2417279913531854,1.0,84.34751773049645,111.28085106382979,load_extrapolation
GA raw G=40 + repair (OOD),knn,208,1,none,0.006768146301795777,0.6134799011165166,-0.6067117548147208,-0.6912179848292994,-0.5294681433719676,1.0,6.553191489361702,40.0,load_extrapolation
GA raw G=40 + repair (OOD),knn,208,1,scale,0.018307327104312505,0.6301642247626316,-0.6118568976583191,-0.6844164635545273,-0.5359627482168964,1.0,23.50354609929078,57.46382978723404,load_extrapolation
GA raw G=40 + repair (OOD),knn,208,1,scale+thin,0.016061499820587005,0.35384199078726386,-0.3377804909666769,-0.39730081227215885,-0.2786383046513813,1.0,68.41843971631205,111.28085106382979,load_extrapolation
GA raw G=40 + repair (OOD),knn,208,2,none,0.0023865440603696173,0.6134799011165166,-0.611093357056147,-0.6995382374640319,-0.5303802927036407,1.0,12.836879432624114,40.0,load_extrapolation
GA raw G=40 + repair (OOD),knn,208,2,scale,0.00798379304779249,0.6215097469605797,-0.6135259539127872,-0.6922198003922214,-0.5369213199892829,1.0,29.822695035460992,57.46382978723404,load_extrapolation
GA raw G=40 + repair (OOD),knn,208,2,scale+thin,0.006368046730752115,0.3510711177647715,-0.3447030710340193,-0.40891796636324135,-0.28453584417036343,1.0,74.73758865248227,111.28085106382979,load_extrapolation
GA raw G=40 + repair (OOD),knn,208,3,none,0.030451446776087614,0.634642433813703,-0.6041909870376153,-0.6813807345582724,-0.5264666829156927,0.9722222222222222,18.070921985815602,40.0,load_extrapolation
GA raw G=40 + repair (OOD),knn,208,3,scale,0.050355445044197665,0.6079562990037647,-0.5576008539595668,-0.6268841268887992,-0.48788695791909353,1.0,35.41843971631206,57.46382978723404,load_extrapolation
GA raw G=40 + repair (OOD),knn,208,3,scale+thin,0.048561198540816045,0.3461854983788549,-0.2976242998380389,-0.3501441786850914,-0.24999196168190949,1.0,81.62411347517731,111.28085106382979,load_extrapolation
GA raw G=40 + repair (OOD),mlp,208,1,none,0.03454658224140193,0.6177870880402608,-0.5832405057988591,-0.6692728555883648,-0.5031703457101921,1.0,6.560283687943262,40.0,load_extrapolation
GA raw G=40 + repair (OOD),mlp,208,1,scale,0.04255395668808671,0.6301642247626316,-0.5876102680745448,-0.6675172260622648,-0.5147969075331729,1.0,23.47517730496454,57.46382978723404,load_extrapolation
GA raw G=40 + repair (OOD),mlp,208,1,scale+thin,0.03411874313468236,0.35384199078726386,-0.3197232476525815,-0.382417439687386,-0.2574638167202966,1.0,70.68794326241135,111.28085106382979,load_extrapolation
