method,space,mode,gen_budget,n_runs,n_contexts,n_seeds,feasibility_rate,gap_mean,gap_median,gap_p90,gap_worst,seedmean_sd,frac_gap_le_2pct,frac_gap_le_5pct,mean_n_gen,mean_n_repair,mean_n_total,max_n_total
de,reparam,scale,100,710,142,5,1.0,0.203754006282135,0.18265799700326574,0.3529656990043407,1.0558912513051588,0.006403487855006046,0.016901408450704224,0.0647887323943662,100.0,18.00985915492958,118.00985915492957,119
de,reparam,scale,400,710,142,5,1.0,0.07203959465516116,0.058731180051123696,0.14592831114039756,0.4672391584844402,0.00473218068175466,0.176056338028169,0.43661971830985913,400.0,18.0,418.0,418
de,reparam,scale,1600,710,142,5,1.0,0.015628203354737063,0.008889385250093002,0.04338815600770423,0.2329312110497809,0.0006593619605458139,0.6549295774647887,0.9295774647887324,1600.0,18.0,1618.0,1618
ga,reparam,scale,10,710,142,5,0.9577464788732394,0.662138578482782,0.5691784984478906,1.2206366511334057,2.457509038910309,0.029604406081909503,0.007042253521126761,0.009859154929577466,10.0,17.71549295774648,27.71549295774648,34
ga,reparam,scale,25,710,142,5,0.9802816901408451,0.43587170952942317,0.383577326519137,0.7585909988405688,1.676019424286881,0.023930183269400107,0.0028169014084507044,0.011267605633802818,25.0,17.86338028169014,42.86338028169014,45
ga,reparam,scale,40,710,142,5,0.9915492957746479,0.355063557464909,0.31384708269106387,0.6239145372931015,1.6831600523203931,0.02470326875211298,0.008450704225352112,0.022535211267605635,40.0,17.961971830985917,57.96197183098592,62
ga,reparam,scale,100,710,142,5,0.9943661971830986,0.2319735369915997,0.18327342507568986,0.45384705713643947,1.447942185099259,0.005794233309781396,0.02676056338028169,0.07605633802816901,100.0,17.984507042253522,117.98450704225353,124
ga,reparam,scale,400,710,142,5,1.0,0.0841233213313591,0.0679582775774121,0.17499265556645505,0.7872846098361219,0.004016104177624547,0.23943661971830985,0.4126760563380282,400.0,18.001408450704226,418.0014084507042,419
ga,reparam,scale,1600,710,142,5,1.0,0.015887670366582025,0.00158517241693875,0.0746693910085691,0.3763971463805726,0.0033321455769216505,0.7436619718309859,0.8394366197183099,1600.0,18.0,1618.0,1618
rand,reparam,scale,10,710,142,5,0.952112676056338,0.6405118514660767,0.5526290198399721,1.231710157360742,2.605683951313269,0.04180651854607883,0.005633802816901409,0.009859154929577466,10.0,17.654929577464788,27.654929577464788,33
rand,reparam,scale,25,710,142,5,0.9873239436619718,0.43048880769401704,0.3820483836189872,0.7982799108797474,1.829627616902624,0.021907823393531898,0.009859154929577466,0.016901408450704224,25.0,17.932394366197183,42.93239436619718,47
rand,reparam,scale,40,710,142,5,0.9873239436619718,0.33684662777299135,0.3091021184299829,0.5652791909045491,1.5492594799696715,0.01594837012460329,0.007042253521126761,0.02112676056338028,40.0,17.919718309859157,57.91971830985916,62
rand,reparam,scale,100,710,142,5,0.9971830985915493,0.2312128217541512,0.20774350379142692,0.3981514339444901,1.1152788474126698,0.010314254364664358,0.007042253521126761,0.04084507042253521,100.0,17.984507042253522,117.98450704225353,119
