mode,span_m,load_kNm,util,grade,stype,h,b,tf,tw,c_agent,c_rescaled,util_rescaled,scale,c_samegrade,c_opt,opt_grade,opt_type,infeasible,gap_total,gap_after_rescale,gap_shape_plus_grade,comp_slack,comp_shape,comp_grade
False,6.818181818181818,107.27272727272728,0.8947916945612027,355.0,rolled,564.8449648308688,176.38016245018633,19.327200044250496,8.447759531354139,905.1440139402239,849.2740094074663,1.0009999999999069,0.9686459677029233,721.7545869895499,721.7545869895499,355,rolled,False,0.2540883428473857,0.17667975336298447,0.0,0.07740858948440121,0.17667975336298447,0.0
False,6.818181818181818,118.18181818181816,0.9900694287872033,355.0,rolled,545.2476970748273,208.58486361402996,15.79021469611469,7.943852206247163,857.3027551059698,851.7527322037289,1.0009999999979358,0.996757834660093,765.2838592685139,765.2838592685139,355,rolled,False,0.12024152178697589,0.11298928088966242,0.0,0.007252240897313467,0.11298928088966242,0.0
False,6.818181818181818,129.0909090909091,0.8770729457050211,355.0,rolled,611.903569434292,183.12870993805547,20.31843642672255,9.40709919868715,1029.9289822925784,955.1330093451994,1.0009999999982344,0.9630044357499172,809.9367375252903,809.9367375252903,355,rolled,False,0.27161657765946057,0.17926865777634315,0.0,0.09234791988311741,0.17926865777634315,0.0
False,6.818181818181818,140.0,0.8586555686223423,355.0,rolled,649.1518928901022,192.43463084923943,19.138899260320944,10.037534376934257,1084.7297039617645,993.6739555332846,1.000999999999704,0.9571085305272389,872.8903969562454,872.8903969562454,355,rolled,False,0.2426871778452362,0.13837196399251206,0.0,0.10431521385272413,0.13837196399251206,0.0
False,7.636363636363637,20.0,0.6879744774818264,355.0,rolled,354.9449524621645,169.02644436788566,10.98358716619259,6.164888599365595,518.9690880748775,433.75246143773995,1.0009999999991606,0.9015426458244293,410.4402624982554,410.4402624982554,355,rolled,False,0.2644205149758754,0.05679803145429396,0.0,0.2076224835215814,0.05679803145429396,0.0
False,7.636363636363637,30.909090909090907,0.783252001551167,355.0,rolled,389.9594402373282,177.1482987048892,12.551225336639869,6.744300766195066,621.7365046425061,543.3879097465525,1.000999999997583,0.934871245272552,505.73617341263,505.73617341263,355,rolled,False,0.22936925877206615,0.07444936374603062,0.0,0.15491989502603554,0.07444936374603062,0.0
False,7.636363636363637,41.81818181818181,0.9255755050859817,355.0,rolled,394.94422839101,169.16740881844532,15.750949693653503,6.0,675.9382089251048,650.2687428629281,1.0009999999985182,0.9775782176111533,577.103938384453,577.103938384453,355,rolled,False,0.17125904705715378,0.12677924999661738,0.0,0.0444797970605364,0.12677924999661738,0.0
False,7.636363636363637,52.72727272727273,0.8645178147498754,355.0,rolled,472.33434683271616,175.22139093175718,16.39921389016257,6.879630009749881,789.4458008888708,727.998186694878,1.000999999997984,0.9602935000615619,636.6691386461515,636.6691386461515,355,rolled,False,0.2399624121370043,0.14344820960370974,0.0,0.09651420253329457,0.14344820960370974,0.0
False,7.636363636363637,63.63636363636363,0.9767504379338,355.0,rolled,494.0058162203187,189.5803976489055,16.504853906210723,6.7103752700897505,841.7062844422832,829.8247280900762,1.0009999999981978,0.9929168967411895,695.9762579966414,695.9762579966414,355,rolled,False,0.20938936461011437,0.1923175806006887,0.0,0.01707178400942566,0.1923175806006887,0.0
False,7.636363636363637,74.54545454545453,0.8699182678590163,355.0,rolled,537.9529999680717,196.26779455119257,16.715542564206675,7.6402877481333284,937.5367864173093,866.0229055049517,1.0009999999992985,0.9611043232169325,759.9937607556299,759.9937607556299,355,rolled,False,0.23361116213000988,0.1395131779028047,0.0,0.09409798422720517,0.1395131779028047,0.0
False,7.636363636363637,85.45454545454545,0.9439746075855538,355.0,rolled,539.1800622318573,195.19475364751366,17.810828377905487,7.94948218641795,986.1457631523922,953.7973970484077,1.0009999999977448,0.9834618324064651,821.0715784057063,821.0715784057063,355,rolled,False,0.20104725225931497,0.16164951038789832,0.0,0.03939774187141665,0.16164951038789832,0.0
False,7.636363636363637,96.36363636363636,0.9015483164508261,355.0,rolled,601.3139335013109,196.3224753012244,17.929906934194186,9.13476204489232,1098.582726284706,1035.9966615837814,1.000999999999208,0.9710974080271625,885.4130387972486,885.4130387972486,355,rolled,False,0.240757339396118,0.17007161199149112,0.0,0.07068572740462686,0.17007161199149112,0.0
False,7.636363636363637,107.27272727272728,0.8145185831359603,355.0,rolled,682.7491457667734,230.41738614859537,14.106300029090454,10.301212636686397,1191.9947026608866,1059.8274733180458,1.000999999998771,0.9429321073856044,972.5059662387416,972.5059662387416,355,rolled,False,0.22569397416762205,0.08979020192238862,0.0,0.13590377224523342,0.08979020192238862,0.0
False,7.636363636363637,118.18181818181816,0.905919373698841,355.0,rolled,657.6351698522018,195.57151212108613,19.770264046113923,10.06413088847901,1255.9357861168746,1187.897766803815,1.0009999999993675,0.9725362886887523,1008.7637482124452,1008.7637482124452,355,rolled,False,0.2450247031006263,0.17757777171195932,0.0,0.06744693138866698,0.17757777171195932,0.0
False,7.636363636363637,129.0909090909091,0.8103561411848004,355.0,rolled,750.0,237.04035634713364,14.2443556882832,11.39217054235246,1347.6511327191854,1194.9282565477924,1.000999999998688,0.9416340949729602,1053.171608858608,1053.171608858608,355,rolled,False,0.2796120987155404,0.13459976180217748,0.0,0.1450123369133629,0.13459976180217748,0.0
False,7.636363636363637,140.0,0.9944203974705361,355.0,rolled,700.459251020364,217.71177237854116,19.488529292462502,9.644558888488802,1338.0125721676563,1332.8179939346292,1.000999999998101,0.9980569578002361,1114.1163843552508,1114.1163843552508,355,rolled,False,0.20096301513596027,0.19630050562979817,0.0,0.004662509506162094,0.19630050562979817,0.0
False,8.454545454545455,20.0,0.6988842874601547,355.0,rolled,369.9911384990737,183.99646341699585,11.942086126166611,6.388912381282874,658.2850388663925,547.7323550230943,1.0009999999990107,0.9067741511845269,503.5977986749521,503.5977986749521,355,rolled,False,0.30716425011874104,0.08763850132837647,0.0,0.21952574879036457,0.08763850132837647,0.0
