k,label_frac,n_labels,span_m,load_kNm,feasible,reference,achieved,gap,util,section_class,h,b,tf,tw,fy,section_type,grade_match,n_ec3
1,1.0,142,8.454545454545455,20.0,1,503.5977986749521,504.60281724685336,0.0019956770552722602,1.0009976640892821,3.0,361.2558825047254,185.54854349262226,8.065014659309218,6.0,355.0,rolled,1,24
1,1.0,142,8.454545454545455,30.909090909090907,1,630.7869497001437,621.522114113205,-0.014687741386125608,1.0009969129339542,3.0,409.3652903207967,213.24819043559154,9.121297622070948,6.0,355.0,rolled,1,24
1,1.0,142,8.454545454545455,41.81818181818181,1,717.4096387563654,720.9080026945196,0.004876382681752833,1.0009967997993379,3.0,559.0733307344792,213.88560844341595,9.331641531097548,6.0,355.0,rolled,1,24
1,1.0,142,8.454545454545455,52.72727272727273,1,805.5999538966952,809.2358318858494,0.004513254961804991,1.0009988961213898,3.0,587.9990929405815,228.01777857680278,10.342950466110759,6.0,355.0,rolled,1,24
1,1.0,142,8.454545454545455,63.63636363636363,1,885.8271517939731,893.7680271535744,0.008964362114572078,1.0009906870916758,3.0,591.7116082075426,252.23036193265216,11.0031883850038,6.0,355.0,rolled,1,24
1,1.0,142,8.454545454545455,74.54545454545453,1,968.3951313197734,977.7428504513817,0.009652794432029932,1.0009955680149805,3.0,603.3464784670984,269.89592201876,11.730971607779367,6.0,355.0,rolled,1,24
1,1.0,142,8.454545454545455,85.45454545454545,1,1050.1554168290577,1081.184777587121,0.029547398661958546,1.0009903329174885,3.0,644.4670045758824,244.0892074907535,14.568566131075887,6.074081721159848,355.0,rolled,1,24
1,1.0,142,8.454545454545455,96.36363636363636,1,1161.2113106394324,1165.7356986110815,0.003896265847735947,1.0009945571181111,3.0,530.9804035939045,267.7929148966012,13.681033215119585,6.17826359931802,460.0,rolled,0,24
1,1.0,142,8.454545454545455,107.27272727272728,1,1247.3930159794309,1211.7100177627335,-0.028606059004330442,1.0009979958316333,3.0,705.7495807231561,280.92298109301635,13.534628271125364,6.711643006041214,355.0,rolled,0,24
1,1.0,142,8.454545454545455,118.18181818181816,1,1285.189935510621,1287.1919542130254,0.0015577609558614647,1.0009944257268184,3.0,571.3083338973045,289.3678223844246,14.193932689911247,6.100208716425807,460.0,rolled,0,24
1,1.0,142,8.454545454545455,129.0909090909091,1,1359.5228722374015,1385.009090256918,0.01874644299111572,1.0009971295207718,3.0,730.4133455650883,275.36213369877555,16.521558467839775,6.882511701190954,355.0,rolled,0,24
1,1.0,142,8.454545454545455,140.0,1,1454.9800312964985,1479.8157383487965,0.01706944873337357,1.0009977508970247,3.0,623.9462569200368,300.0,15.501701353505945,6.6622560344604524,460.0,rolled,0,24
1,1.0,142,9.272727272727272,20.0,1,618.4530890237875,616.2744670844472,-0.003522695541514964,1.0009959869548115,3.0,385.9301719028016,201.12385853694585,8.515166442817888,6.0,355.0,rolled,1,24
1,1.0,142,9.272727272727272,30.909090909090907,1,761.4534867686122,758.0936718124914,-0.004412370570891833,1.0009969294085685,3.0,443.57715761837727,227.25875146179285,9.659996745687257,6.0,355.0,rolled,1,24
1,1.0,142,9.272727272727272,41.81818181818181,1,881.2556840948919,879.617141594568,-0.0018593270147321261,1.0009983857029645,3.0,493.5291443072906,246.86129791996999,10.559780991923962,6.0,355.0,rolled,1,24
1,1.0,142,9.272727272727272,52.72727272727273,1,989.9883669803154,987.4481402565136,-0.0025659157304545044,1.0009975749840456,3.0,632.4112846625447,247.24597107529175,10.777516252983418,6.065690746119143,355.0,rolled,1,24
1,1.0,142,9.272727272727272,63.63636363636363,1,1106.6209977316942,1140.5509161430778,0.03066083011340992,1.000993583703716,3.0,683.9204321995159,232.09692182857617,13.284210174372353,6.494276675685886,355.0,rolled,1,24
1,1.0,142,9.272727272727272,74.54545454545453,1,1247.7748019974165,1213.2592844076362,-0.027661656201526497,1.00099209545486,3.0,638.3442684605009,283.83333157023486,13.022537573387236,6.056286645631725,355.0,rolled,1,24
1,1.0,142,9.272727272727272,85.45454545454545,1,1317.098439688467,1315.8867629964013,-0.0009199590976298744,1.0009938353337597,3.0,686.702048012797,289.12082349721635,13.333207142418743,6.560092299312475,355.0,rolled,1,24
1,1.0,142,9.272727272727272,96.36363636363636,1,1414.7279425408665,1427.2599271723802,0.008858229384376415,1.0009917789928335,3.0,723.5942045090361,283.7877236707597,14.60249274277985,6.870358859562874,355.0,rolled,1,24
1,1.0,142,9.272727272727272,107.27272727272728,1,1522.6725742575536,1551.3923422694345,0.01886142070030017,1.0009976280886415,3.0,705.6900967421743,287.17058672008733,16.96297429001668,6.6272290265790925,355.0,rolled,1,24
1,1.0,142,9.272727272727272,118.18181818181816,1,1645.849345217246,1650.3272203210174,0.002720707771208808,1.0009934417769786,3.0,728.6871185795397,290.6271859816989,17.826944465785548,6.8361585068304995,355.0,rolled,1,24
1,1.0,142,9.272727272727272,129.0909090909091,1,1740.933618872136,1770.3337002273518,0.016887537259612673,1.0009955212708792,3.0,732.3746681213379,287.86735341894024,15.164308583222887,8.152553465879654,460.0,rolled,0,24
1,1.0,142,9.272727272727272,140.0,1,1856.5687456377927,1884.5226527908517,0.015056758452246743,1.000997258231886,3.0,750.0,300.0,19.76330239792216,7.578700212474451,355.0,rolled,0,24
