k,label_frac,n_labels,span_m,load_kNm,feasible,reference,achieved,gap,util,section_class,h,b,tf,tw,fy,section_type,grade_match,n_ec3
1,1.0,142,10.09090909090909,63.63636363636363,1,1473.4968374975142,1450.4412626852038,-0.015646843770269925,1.0009972346010447,2.0,523.6780154070556,263.0183357066803,15.679605888221042,8.016669802165435,355.0,rolled,1,24
1,1.0,142,10.09090909090909,74.54545454545453,1,1593.8205978972342,1605.638104837593,0.007414577874040429,1.00099760115444,2.0,543.4769719706868,275.9623211277902,16.624461913909258,8.475025617766601,355.0,rolled,1,24
1,1.0,142,10.09090909090909,85.45454545454545,1,1744.078619322344,1800.9570818635575,0.03261232716866491,1.0009953970274783,2.0,645.0182701418339,275.50010786033044,16.29323175718741,10.065195221458076,355.0,rolled,1,24
1,1.0,142,10.09090909090909,96.36363636363636,1,1930.113776773892,1931.4090621033206,0.000671092732985823,1.0009957387892838,2.0,645.9939996570276,289.95094299316406,17.41115522220079,10.04930869736187,355.0,rolled,1,24
1,1.0,142,10.09090909090909,107.27272727272728,1,2067.605711285596,2051.658788249301,-0.007712748590919527,1.0009963754341742,2.0,698.9422533280296,290.6997365423581,17.29222501863048,10.831425459946532,355.0,rolled,1,24
1,1.0,142,10.09090909090909,118.18181818181816,1,2170.353625378734,2191.9398539763124,0.009945949980299629,1.0009930535020792,2.0,714.6044180225498,291.0077981215409,18.764529684120955,11.088600189907432,355.0,rolled,1,24
1,1.0,142,10.09090909090909,129.0909090909091,1,2307.5736162550616,2330.5415163627413,0.009953268639357304,1.0009952720165385,2.0,728.494023925225,288.1086652166034,20.65520433029209,11.194234726170915,355.0,rolled,1,24
1,1.0,142,10.09090909090909,140.0,1,2443.406284429296,2450.6572140301973,0.0029675497059609146,1.0009992099589056,2.0,750.0,300.0,20.213934018528374,11.945102614871654,355.0,rolled,1,24
1,1.0,142,10.90909090909091,20.0,1,939.0466900997784,925.6554177867796,-0.014260496793376598,1.0009994153154294,2.0,390.3080529606226,204.09665580102998,12.120202155055336,6.1505265248153185,355.0,rolled,1,24
1,1.0,142,10.90909090909091,30.909090909090907,1,1197.1649157491154,1172.1371326255114,-0.02090587753980666,1.0009895559617807,2.0,433.2963590297786,230.72378226572803,13.720846977149623,6.86046148824165,355.0,rolled,1,24
1,1.0,142,10.90909090909091,41.81818181818181,1,1403.509472950396,1390.577400352667,-0.009214097123650955,1.0009932790070932,2.0,477.9731709870417,249.62453330650598,14.783158318769447,7.658559766899754,355.0,rolled,1,24
1,1.0,142,10.90909090909091,52.72727272727273,1,1588.7457907355176,1592.3781568016004,0.002286310426289795,1.00099754854964,2.0,508.46971451432273,265.4946539892268,16.05950108929672,8.096189231240709,355.0,rolled,1,24
1,1.0,142,10.90909090909091,63.63636363636363,1,1789.9941201560932,1782.5247636302126,-0.004172838581854799,1.000995591282715,2.0,543.656678893655,275.59420937683586,17.089911709974217,8.720852341102711,355.0,rolled,1,24
1,1.0,142,10.90909090909091,74.54545454545453,1,1942.2808212955651,2015.047323629102,0.03746446010057358,1.0009907838231848,2.0,645.5587877409281,280.78304056647096,17.011806989581473,10.004209679290048,355.0,rolled,1,24
1,1.0,142,10.90909090909091,85.45454545454545,1,2177.190622234541,2191.805811691604,0.006712866254247718,1.0009959967730078,2.0,707.5256738725061,281.7902188689043,17.12750085915248,10.980903050732001,355.0,rolled,1,24
1,1.0,142,10.90909090909091,96.36363636363636,1,2344.698716886334,2351.475849019608,0.002890406381197641,1.0009931879066571,2.0,724.8770829482972,289.3031908333746,18.254593906924114,11.222757836100186,355.0,rolled,1,24
1,1.0,142,10.90909090909091,107.27272727272728,1,2499.121791022924,2525.3492272216868,0.010494661081734469,1.0009939606084104,2.0,727.3543066124986,291.6914873713282,20.48198385182092,11.204989946910754,355.0,rolled,1,24
1,1.0,142,10.90909090909091,118.18181818181816,1,2669.547168301596,2713.928014173545,0.016624859226662236,1.0009997965694932,2.0,731.109582051987,292.26862927926896,22.732433701821254,11.403099560190412,355.0,rolled,1,24
1,1.0,142,10.90909090909091,129.0909090909091,1,2855.841135487434,2946.205479834678,0.031641936669499326,1.0009950258693254,2.0,733.618740202228,293.46289699238406,19.595812665377085,12.881325250721172,460.0,rolled,0,24
1,1.0,142,10.90909090909091,140.0,1,3078.8301843712,3091.8776907426727,0.004237812932231355,1.0009989021266297,1.0,750.0,300.0,25.288820899965295,12.685440822775828,355.0,rolled,0,24
